U.S. Energy Information Administration													
November 2015 Monthly Energy Review													
													
Note: Information about data precision.													
													
"Release Date: November 24, 2015"													
"Next Update: December 23, 2015"													
													
Table 1.2 Primary Energy Production by Source													
													
Annual Total	Coal Production	Natural Gas (Dry) Production	Crude Oil Production	Natural Gas Plant Liquids Production	Total Fossil Fuels Production	Nuclear Electric Power Production	Hydroelectric Power Production	Geothermal Energy Production	Solar/PV Energy Production	Wind Energy Production	Biomass Energy Production	Total Renewable Energy Production	Total Primary Energy Production
	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)	(Quadrillion Btu)
1949	11.973882	5.377243	10.683252	0.713799	28.748176	0	1.424722	0	0	0	1.549262	2.973984	31.72216
1950	14.060135	6.232975	11.446729	0.822828	32.562667	0	1.415411	0	0	0	1.562307	2.977718	35.540384
1951	14.419325	7.415733	13.036724	0.920369	35.792151	0	1.423795	0	0	0	1.534669	2.958464	38.750615
1952	12.734313	7.963599	13.281049	0.997771	34.976732	0	1.465812	0	0	0	1.474369	2.940181	37.916913
1953	12.277746	8.338838	13.671076	1.061677	35.349336	0	1.412859	0	0	0	1.418601	2.83146	38.180796
1954	10.542448	8.681785	13.42693	1.113167	33.76433	0	1.359772	0	0	0	1.394327	2.754099	36.51843
1955	12.369608	9.344668	14.409682	1.239721	37.36368	0	1.359844	0	0	0	1.424143	2.783987	40.147667
1956	13.306334	10.002147	15.180241	1.28273	39.771452	0	1.434711	0	0	0	1.415871	2.850582	42.622033
1957	13.061393	10.605254	15.178026	1.288811	40.133484	0.000112	1.515613	0	0	0	1.333581	2.849194	42.98279
1958	10.783088	10.942235	14.204125	1.286874	37.216322	0.001915	1.591967	0	0	0	1.323123	2.91509	40.133327
1959	10.777984	11.951826	14.932622	1.382783	39.045216	0.002187	1.548465	0	0	0	1.352874	2.901339	41.948742
1960	10.817398	12.656133	14.934611	1.460974	39.869117	0.006026	1.607975	0.000359	0	0	1.31987	2.928204	42.803347
1961	10.447091	13.104734	15.206196	1.549114	40.307136	0.019678	1.656463	0.001001	0	0	1.294762	2.952226	43.27904
1962	10.90056	13.716861	15.521896	1.592568	41.731885	0.026394	1.816141	0.001061	0	0	1.300242	3.117444	44.875724
1963	11.849229	14.512781	15.965793	1.709378	44.037181	0.038147	1.771355	0.00176	0	0	1.323316	3.096431	47.171759
1964	12.523881	15.298396	16.163568	1.803106	45.788951	0.039819	1.886314	0.002132	0	0	1.336802	3.225248	49.054018
1965	13.055285	15.775441	16.521381	1.882795	47.234902	0.043164	2.059077	0.001978	0	0	1.334761	3.395816	50.673882
